Drug A,Drug B,Cell Line,Amount of Literatures,Predicted Synergy Score
5-FU,CARBOPLATIN,A2058,0,-4.48465
5-FU,CARBOPLATIN,A2780,1,-0.70355
5-FU,CARBOPLATIN,A375,0,-1.74846
5-FU,CARBOPLATIN,A427,0,0.183909
5-FU,CARBOPLATIN,CAOV3,0,-12.6084
5-FU,CARBOPLATIN,COLO320DM,0,6.338627
5-FU,CARBOPLATIN,DLD1,0,-3.1614
5-FU,CARBOPLATIN,EFM192B,0,-10.1297
5-FU,CARBOPLATIN,ES2,0,-1.25733
5-FU,CARBOPLATIN,HCT116,5,1.978887
5-FU,CARBOPLATIN,HT144,0,0.009317
5-FU,CARBOPLATIN,HT29,1,1.512361
5-FU,CARBOPLATIN,KPL1,0,-3.82232
5-FU,CARBOPLATIN,LNCAP,1,-3.38809
5-FU,CARBOPLATIN,LOVO,0,-9.98309
5-FU,CARBOPLATIN,MDAMB436,0,10.51346
5-FU,CARBOPLATIN,MSTO,0,-36.191
5-FU,CARBOPLATIN,NCIH1650,0,-4.40249
5-FU,CARBOPLATIN,NCIH2122,0,-1.69254
5-FU,CARBOPLATIN,NCIH23,0,-2.28958
5-FU,CARBOPLATIN,NCIH460,0,-1.01404
5-FU,CARBOPLATIN,NCIH520,0,-5.42956
5-FU,CARBOPLATIN,OCUBM,0,11.49424
5-FU,CARBOPLATIN,OV90,0,-7.1559
5-FU,CARBOPLATIN,OVCAR3,1,-8.90709
5-FU,CARBOPLATIN,PA1,0,-4.23101
5-FU,CARBOPLATIN,RKO,0,7.02343
5-FU,CARBOPLATIN,RPMI7951,0,-6.89483
5-FU,CARBOPLATIN,SKMEL30,0,-66.9976
5-FU,CARBOPLATIN,SKMES1,0,4.210261
5-FU,CARBOPLATIN,SKOV3,1,-8.78443
5-FU,CARBOPLATIN,SW620,0,-2.76535
5-FU,CARBOPLATIN,SW837,0,-8.94321
5-FU,CARBOPLATIN,T47D,0,-0.38134
5-FU,CARBOPLATIN,UACC62,0,-1.00858
5-FU,CARBOPLATIN,UWB1289,0,1.68452
5-FU,CARBOPLATIN,UWB1289BRCA1,0,3.452403
5-FU,CARBOPLATIN,VCAP,0,12.89472
5-FU,CARBOPLATIN,ZR751,0,1.292375
5-FU,CYCLOPHOSPHAMIDE,A2058,0,3.988752
5-FU,CYCLOPHOSPHAMIDE,A2780,2,-1.7865
5-FU,CYCLOPHOSPHAMIDE,A375,1,4.483983
5-FU,CYCLOPHOSPHAMIDE,A427,0,4.712164
5-FU,CYCLOPHOSPHAMIDE,CAOV3,0,-0.45464
5-FU,CYCLOPHOSPHAMIDE,COLO320DM,0,3.888217
5-FU,CYCLOPHOSPHAMIDE,DLD1,0,4.208696
5-FU,CYCLOPHOSPHAMIDE,EFM192B,0,-0.04091
5-FU,CYCLOPHOSPHAMIDE,ES2,0,-0.18316
5-FU,CYCLOPHOSPHAMIDE,HCT116,0,4.689757
5-FU,CYCLOPHOSPHAMIDE,HT144,0,0.862036
5-FU,CYCLOPHOSPHAMIDE,HT29,1,2.978429
5-FU,CYCLOPHOSPHAMIDE,KPL1,0,-10.6582
5-FU,CYCLOPHOSPHAMIDE,LNCAP,1,-8.67059
5-FU,CYCLOPHOSPHAMIDE,LOVO,0,-7.75189
5-FU,CYCLOPHOSPHAMIDE,MDAMB436,0,3.182619
5-FU,CYCLOPHOSPHAMIDE,MSTO,0,-16.7204
5-FU,CYCLOPHOSPHAMIDE,NCIH1650,0,-2.06284
5-FU,CYCLOPHOSPHAMIDE,NCIH2122,0,3.075739
5-FU,CYCLOPHOSPHAMIDE,NCIH23,0,1.176372
5-FU,CYCLOPHOSPHAMIDE,NCIH460,0,0.82366
